4.619962300E+7	-9.337712474E-1	3.385377200E-1
4.713635000E+7	-9.312179815E-1	3.452094021E-1
4.807307700E+7	-9.286800491E-1	3.517923909E-1
4.900980400E+7	-9.260683621E-1	3.583538503E-1
4.994653100E+7	-9.235101950E-1	3.648692380E-1
5.088325800E+7	-9.208003455E-1	3.714354190E-1
5.181998500E+7	-9.180985267E-1	3.779449577E-1
5.275671200E+7	-9.153451928E-1	3.843190941E-1
5.369343900E+7	-9.124892528E-1	3.908590829E-1
5.463016600E+7	-9.096521885E-1	3.972569038E-1
5.556689300E+7	-9.068210173E-1	4.036815364E-1
5.650362000E+7	-9.038171257E-1	4.100682760E-1
5.744034700E+7	-9.008753307E-1	4.164603706E-1
5.837707400E+7	-8.978484955E-1	4.228113861E-1
5.931380100E+7	-8.947614035E-1	4.291646626E-1
6.025052800E+7	-8.916360017E-1	4.353407877E-1
6.118725500E+7	-8.884284936E-1	4.416123033E-1
6.212398200E+7	-8.852032863E-1	4.479348178E-1
6.306070900E+7	-8.818451675E-1	4.541728353E-1
6.399743600E+7	-8.786357608E-1	4.602477794E-1
6.493416300E+7	-8.753062822E-1	4.665867502E-1
6.587089000E+7	-8.720228765E-1	4.726548411E-1
6.680761700E+7	-8.684082539E-1	4.788414708E-1
6.774434400E+7	-8.649877608E-1	4.849368719E-1
6.868107100E+7	-8.615292841E-1	4.909592002E-1
6.961779800E+7	-8.579542245E-1	4.969346359E-1
7.055452500E+7	-8.544177930E-1	5.030094690E-1
7.149125200E+7	-8.507407374E-1	5.090384934E-1
7.242797900E+7	-8.471140015E-1	5.148492881E-1
7.336470600E+7	-8.432751804E-1	5.209370346E-1
7.430143300E+7	-8.397606578E-1	5.265480187E-1
7.523816000E+7	-8.359133239E-1	5.326667889E-1
7.617488700E+7	-8.319755923E-1	5.384391138E-1
7.711161400E+7	-8.284333697E-1	5.443546819E-1
7.804834100E+7	-8.242187119E-1	5.500945978E-1
7.898506800E+7	-8.203484606E-1	5.558381068E-1
7.992179500E+7	-8.166145507E-1	5.616858686E-1
8.085852200E+7	-8.124474228E-1	5.675799944E-1
8.179524900E+7	-8.081224353E-1	5.730970813E-1
8.273197600E+7	-8.041277506E-1	5.788506780E-1
8.366870300E+7	-7.999425989E-1	5.845726245E-1
8.460543000E+7	-7.958182008E-1	5.901963388E-1
8.554215700E+7	-7.915707730E-1	5.957336934E-1
8.647888400E+7	-7.872868331E-1	6.013062898E-1
8.741561100E+7	-7.829913851E-1	6.067079452E-1
8.835233800E+7	-7.785328554E-1	6.121915680E-1
8.928906500E+7	-7.741991846E-1	6.175444335E-1
9.022579200E+7	-7.698577525E-1	6.232593662E-1
9.116251900E+7	-7.654972268E-1	6.284709643E-1
9.209924600E+7	-7.610775289E-1	6.338295643E-1
9.303597300E+7	-7.564238971E-1	6.391742294E-1
9.397270000E+7	-7.517860661E-1	6.445720419E-1
